strength,attention,meditation,deltha,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,high_gamma
26,0,0,1710739,867119,534002,340222,89681,360454,185763,342844
26,0,0,630677,233860,70099,246669,29310,53748,41492,78159
55,0,0,331095,239085,39840,105505,103490,151001,138723,124554
26,0,0,2015012,1401474,464608,925916,328170,426233,406615,519087
26,0,0,116976,43324,16040,25221,14222,18939,4341,13550
55,0,0,164664,10565,1014,2380,1473,3121,1918,2441
26,0,0,61818,36862,1235,55063,100041,28284,29698,40191
26,0,0,302679,423934,161968,271623,54114,98116,188516,105386
26,0,0,38241,37022,1007,1040,4352,3620,4370,800
55,0,0,236697,153910,91104,109005,102030,78990,144344,231018
26,0,0,349902,353325,799019,140082,167016,61275,26575,62652
26,0,0,86119,44942,6856,10429,18427,62271,23737,17380
55,0,0,519036,96328,483743,201261,124873,196581,143357,73775
26,0,0,131866,35350,19649,18774,13191,34213,41411,17807
26,0,0,1035521,136548,22717,74353,92251,141023,194291,88235
55,0,0,68896,41308,2318,932,8715,1117,1737,1089
26,0,0,799328,301859,140505,145840,92959,158711,168322,43255
26,0,0,184591,28167,33468,11919,72446,32120,22417,33095
26,0,0,52784,9311,1967,787,3244,1691,1785,3349
55,0,0,426316,160311,284214,68228,81261,155261,140043,80124
26,0,0,772111,824825,187863,36594,139918,139458,192675,79817
26,0,0,482774,386265,48950,65457,324168,191742,81372,91444
26,0,0,83397,12928,306,1473,3145,1975,2719,1292
55,0,0,1269504,1336445,127558,828335,954255,685818,631565,397759
26,0,0,898648,1541138,769904,198874,275569,587699,936707,583021
26,0,0,869251,107697,78032,117799,100082,122018,119871,91207
55,0,0,87791,63745,655,1307,6185,3585,3632,2513
55,0,0,209219,209283,208440,127748,208149,130902,209573,106705
26,0,0,2600930,206194,543549,158821,138236,137040,93098,100774
26,0,0,932441,247694,46512,236174,169919,158813,110723,64636
55,0,0,12046,31013,1525,2282,6866,1872,1159,792
26,0,0,570359,279455,96075,221817,66386,253509,169024,145839
26,0,0,1054088,100586,27249,76763,137203,181578,169388,72950
26,0,0,60508,96325,2088,3839,3240,1996,1518,839
55,0,0,1192230,859068,687697,457427,576471,696312,804884,341797
26,0,0,668406,238815,488703,101761,87638,139833,137195,145464
26,0,0,545729,340298,493987,129430,229677,110123,118416,156046
55,0,0,70249,42775,1454,2593,9342,3064,1149,1642
51,0,0,883516,109501,18933,24349,20002,294158,295782,123191
51,0,0,1091687,176111,46871,45406,39427,381029,346469,39835
51,0,0,416139,689973,118972,27627,91894,117799,116767,76561
51,0,0,908453,50590,11109,33494,19306,34749,24701,7428
51,0,0,877389,99863,16482,41881,10485,571079,395799,104859
51,0,0,172499,559503,72040,48953,42403,190341,71263,47474
80,0,0,688539,97464,6677,11976,7092,30168,9900,30049
51,0,0,2660418,413736,107303,46609,94469,115868,121565,83595
51,0,0,79985,44189,37416,21305,21339,33934,12192,36111
80,0,0,73874,42196,6077,28265,8390,33924,57997,34664
51,0,0,297463,93071,39321,40079,23188,168746,127109,63973
51,0,0,9837,35981,8001,4847,13174,154632,40578,22558
51,0,0,205014,48272,10970,7417,9470,90374,93015,14591
80,0,0,1121838,109826,43564,30135,21217,464919,267940,55295
51,0,0,54047,84813,15515,13372,12347,34961,44160,11498
51,0,0,37664,59172,20037,13896,21137,103088,42173,21646
80,0,0,792226,122987,161092,37197,51074,155222,145590,134112
51,0,0,785613,78296,35614,21030,27223,319367,607484,98075
51,0,0,68661,45454,9249,14205,22169,95636,92611,18563
51,0,0,1174657,343076,35258,41274,45297,253271,169572,127518
80,0,0,701077,191542,66172,18178,43371,353932,339099,67370
51,0,0,555965,167040,30155,51221,13100,134179,382196,67932
51,0,0,166534,350767,163608,71354,40946,378254,345908,89194
51,0,0,1630519,1126694,405367,450683,161808,1332274,910068,352534
80,0,0,791984,360244,50633,47673,41051,199891,381569,57266
51,0,0,1058157,143459,65955,20553,45506,309032,478640,78086
51,0,0,424764,158840,29443,34783,30683,230486,377497,91952
51,0,0,685824,42351,8871,32790,52449,418011,397426,69560
80,0,0,1108685,106637,23267,39008,30000,249831,180298,71978
51,0,0,567099,86837,32616,42435,62288,238894,182690,39780
51,0,0,490247,481169,31518,38683,46404,425809,323123,64027
51,0,0,559343,266396,50362,13827,13878,264082,422896,109878
80,0,0,934090,101262,21067,19013,56762,225147,299121,48727
51,0,0,355458,318669,48764,53525,33186,205185,372055,110785
51,0,0,106739,101613,25082,26103,16408,57402,66975,17709
80,0,0,1028387,202771,53186,80834,86757,229049,133956,124636
51,0,0,1297878,67937,21723,14474,12872,310055,256658,87318
51,0,0,1217637,162005,24437,52518,38119,189236,164609,144789
51,0,0,52754,10175,27528,9670,4276,98245,59926,14522
80,0,0,1452360,208188,11420,30441,83588,394712,497622,64101
51,0,0,354672,199937,32958,31521,24254,204009,351314,63657
51,0,0,722760,219614,24790,20502,148825,273842,207856,80485
80,0,0,329861,136275,35650,33848,32693,443403,214198,94956
51,0,0,1676003,190114,32725,20180,7697,212878,159129,54631
51,0,0,479299,57646,17898,22201,30707,181285,217094,36001
